Name,Symbol,High,Low,Open,Close,Volume,Marketcap,Daily_Return,MA_7,MA_30,MA_90,Price_Range,Log_Return,Volatility_30d,RSI_14,EMA_7,EMA_21,Volume_MA_7,Volume_MA_30,VWAP,Rolling_Std,Cumulative_Return
Bitcoin,BTC,777.510009765625,713.5999755859375,763.280029296875,735.0700073242188,46862700.0,8955394563.5,-0.0353158532170057,677.298566545759,837.8179972330729,483.6868876139323,63.9100341796875,-0.03595454025361046,0.11977409030984844,40.52708116177425,702.7505879843615,734.8485989946864,6694671.428571428,1562090.0,735.0700073242188,178.81063705651533,5.085582132753152
Bitcoin,BTC,747.0599975585938,705.3499755859375,737.97998046875,727.8300170898438,32505800.0,8869918644.0,-0.00984938871432095,694.7514299665179,827.6806660970052,490.24788784450953,41.71002197265625,-0.009898214812696673,0.11961386031871019,41.15778994012495,709.020445260732,734.2105460942461,11338357.142857144,2645616.6666666665,732.1048300238975,176.0242194906194,5.035492257489061
Bitcoin,BTC,748.6099853515625,714.4400024414062,728.0499877929688,745.0499877929688,19011300.0,9082103621.25,0.02365933019907218,713.018572126116,814.7833333333333,497.0484432644314,34.16998291015625,0.023383785912798712,0.11820919602865326,42.126318656309756,718.0278308937911,735.195949885039,14054257.142857144,3279326.6666666665,734.6064032929542,166.8983648912667,5.154628631523866
Bitcoin,BTC,766.5999755859375,740.239990234375,741.3499755859375,756.1300048828125,20707700.0,9217167990.25,0.014871508316731452,724.8357195172991,802.3399983723958,503.9812211778429,26.3599853515625,0.014762011688809341,0.11827445224606455,53.72516134530115,727.5533743910464,737.0990457939275,17012500.0,3969583.3333333335,738.3490654921129,156.20382557938512,5.231285734087235
Bitcoin,BTC,760.5800170898438,738.1699829101562,760.3200073242188,754.010009765625,20897300.0,9191325349.25,-0.00280374420205165,737.4685756138393,795.6119995117188,511.09099909464516,22.4100341796875,-0.002807682055037558,0.11496016732005612,55.51701570803246,734.1675332346911,738.6364061549909,19997828.57142857,4666160.0,740.6869725417845,153.69045404564787,5.216618547041013
Bitcoin,BTC,775.3499755859375,754.969970703125,754.969970703125,771.4000244140625,22489400.0,9403308145.0,0.02306337372609013,750.2100045340402,786.5476684570312,518.2884438408746,20.3800048828125,0.022801433952094358,0.11372397865735591,74.40628478899504,743.4756560295339,741.6149169058157,23210600.0,5415806.666666667,744.938220486236,146.423934012381,5.336931370177873
Bitcoin,BTC,820.3099975585938,767.2100219726562,773.4400024414062,802.3900146484375,38489500.0,9781073920.75,0.04017369620634148,755.9828665597098,777.3513346354167,525.7704440646702,53.0999755859375,0.03938771479075219,0.113805823992069,64.8735307817148,758.2042456842598,747.1399257915086,28709100.0,6698790.0,755.9416545960083,135.74381525215236,5.551335629717493
Bitcoin,BTC,834.1500244140625,789.1199951171875,802.8499755859375,818.719970703125,37810100.0,9980135396.0,0.02035164415878521,767.932861328125,766.2696655273437,533.4389992607964,45.030029296875,0.020147317059116914,0.11311273926647314,80.13212751507194,773.3331769389761,753.6472026016555,27415871.42857143,7959126.666666667,765.8826716164758,116.36031331237463,5.664314437059489
Bitcoin,BTC,859.510009765625,801.6699829101562,823.27001953125,859.510009765625,38005000.0,10477362436.8,0.04982172234966864,786.7442888532366,760.0829996744792,541.5557771470811,57.84002685546875,0.04862036151536647,0.11231184093830565,87.10716799797294,794.8773851456383,763.2710941620164,28201471.42857143,9225960.0,778.7388115605698,105.44577716127561,5.946520338243887
Bitcoin,BTC,952.4000244140624,854.52001953125,858.5499877929688,933.530029296875,72898496.0,11379660685.2,0.08611885689549337,813.6700090680804,763.552333577474,550.5178885565864,97.88000488281239,0.0826106601782648,0.10634884640388104,89.09901639146398,829.5405461834475,778.7491791742763,35899642.28571428,11655909.866666667,811.0086989569342,109.44319059147934,6.458627872279253
Bitcoin,BTC,1017.1199951171876,905.7100219726562,936.0499877929688,953.2899780273438,85565696.0,11620533603.2,0.021166912804456484,841.8357195172991,772.0543334960937,559.7099994235568,111.40997314453136,0.020946005551297494,0.10153437732308464,88.01892674385056,860.4779041444216,794.6165245245552,45165070.28571428,14508099.733333332,838.9801928010668,114.00565486060725,6.595337085288221
Bitcoin,BTC,965.739990234375,802.0,946.489990234375,802.0,81311696.0,9808299600.0,-0.15870299857805092,848.6914324079241,772.2586669921875,567.1689993964301,163.739990234375,-0.1728105286514416,0.10352603865576597,63.33424769561019,845.8584281083162,795.2877495677774,53795698.28571428,17218489.6,833.159081764975,114.05529444003135,5.548637313219958
Bitcoin,BTC,870.6799926757812,776.1799926757812,795.989990234375,842.719970703125,74175600.0,10310363180.0,0.05077303080190143,858.8799961635044,770.5763326009114,575.0815546671549,94.5,0.04952611310390319,0.10154712068131941,64.98329090395487,845.0738137570183,799.5997696709908,61179441.14285714,19691009.6,834.3596037086215,112.57261188646144,5.830358446432654
Bitcoin,BTC,864.3599853515625,804.1400146484375,841.469970703125,846.8599853515625,59998600.0,10365397028.0,0.004912681308576694,865.2328491210938,765.8546651204427,583.0366656833224,60.219970703125,0.004900653466309299,0.09964636085477653,59.22608993559197,845.5203566556544,803.8961529146791,64252169.71428572,21690962.933333334,835.5121657231147,105.8887638827394,5.859001139394746
Bitcoin,BTC,871.1900024414062,822.5999755859375,846.6900024414062,868.47998046875,31876800.0,10634081648.0,0.025529598152181254,872.3414219447544,765.5213317871094,591.1843321058485,48.59002685546875,0.0252091602807186,0.09750080332789975,64.66978981249179,851.2602626089283,809.7674099650492,63404555.428571425,22753522.933333334,837.0517198984729,105.537154683425,6.008579084056666
